LIGAND INFORMATION,,,,,IN VITRO ASSAYS,,,,,,,,,CELL-BASED ASSAYS,,,,,,,,ANIMAL MODELS,,,,,,,,,,,,,,
#,Previous ID #,SMILES,Name,DOI/PMC,Control,Assay Target(s) ,Observation,Ligand Concentration,Buffer,Category,Assay,Method/Notes,Control/Validation,Control,Cell Line,Observation,Concentration,Category,Assay,Method Notes,Control/Validation,Control,Organism,Observation,Administration/Concentration,Category,Assay,Method/Notes,Control/Validation,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/acschembio.8b00827,,,,,,,,,,,MDA-MB-231 TNBC Cells ,Similar uptake to ligand-bleomycin conjugate,Ligand = 500 nM,Cell Uptake,Confocal Microscopy,Measured after treatment for 3 h.,Compared to bleomycin-ligand conjugate. Normalized intensity per cell is reported.,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/acschembio.8b00827,,,,,,,,,,,MDA-MB-231 TNBC Cells,Induced apoptosis,Ligand = 50 and 500 nM,Apoptosis,Annexin V/PI Staining,Treated for 48 h.,Camptothecin was used as a positive control,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/acschembio.8b00827,,,,,,,,,,,MDA-MB-231 TNBC Cells,Significant and dose-dependent induction of apoptosis. Decreased  apoptotic effect upon overexpression of pri-miR-96 via a plasmid,"Ligand = 5, 50, 500 and 1000 µM",Apoptosis,Caspase-3 Assay,Treated for 48 h.,-,,,,,,,,,,,,,,,
R-BIND (LM) 0002,R-BIND (MV) 0003,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=C(C=C(C=C2C(C)(C)C)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)C(C)(C)C)N=N1)C(=O)CCCOC1=CC=CC(=C1)C1=NC2=CC(=CC=C2N1)C1=NC2=CC(=CC=C2N1)N1CC[NH+](C)CC1,Targaprimir-96,10.1021/acschembio.8b00827,,,,,,,,,,C,MCF10A,No effect on apoptosis,"Ligand = 5, 50, 500 and 1000 µM",Apoptosis,Caspase-3 Assay,Healthy breast epithelial cells. Treated for 48 h.,-,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,,r(AUUCU)11,Compound bound to the RNA 2-20-fold greater than the other dimers,Ligand = 1 µM; RNA = 100 nM,"PBS buffer (pH = 7.4), 1 mM MgCl2, and 50 µg/mL BSA",Binding,Filter Binding Assay,"After incubation of radioactively labelled RNA with compound, the compound-bound RNA was separated from free RNA by using a Dot-Blot apparatus.",-,C,HeLa Cells,No changes in GFP expression was observed in either system,Ligand = 250 nM,Translational Activity,Reporter,Transfected plasmids encoding GFP and GFP and r(AUUCU)500.,Compared to untreated control,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,r(AUUCU)11; 35-fold excess tRNA,"A slight decrease (~20%) in binding was observed, suggesting the compound is selective",Ligand = 1 µM; RNA = 100 nM,"PBS buffer (pH = 7.4), 1 mM MgCl2, and 50 µg/mL BSA",Binding,Filter Binding Assay,"After incubation of radioactively labelled RNA with compound in 35-fold excess tRNA, the compound-bound RNA was separated from free RNA by using a Dot-Blot apparatus.",-,,SCA10 Fibroblasts,Caspase 3 levels reduced to amounts seen in healthy cells,Ligand = 50 nM,Protein Abundance,Caspase-3 Assay,"Compounds dissolved in DMSO (50%) were added to cells, and collected after 48 h",Compared to healthy fibroblasts without SCA10,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,,r(AUUCU)11-DGCR8? complex,70% inhibition,Ligand = 1.5 µM; RNA = 60 nM; Protein = 40 nM,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Separately confirmed that DGCR8? binds r(AUUCU)11 using a gel mobility shift assay. Compared to monomeric compounds (which had less activity),,SCA10 Fibroblasts,Reduced mitochondrial abundance of PKC?,Ligand = 50 nM,Localization,Confocal Microscopy,"Compounds dissolved in DMSO (50%) were added to cells, and collected after 48 h",Compared to healthy fibroblasts without SCA10,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,,r(AUUCU)11,Kd = 185 ± 1.0 nM; Hill coefficient = 1.4 ± 0.4; Stoichiometry = 7 ± 0.1; EC50 = 146 ± 8 nM (16 ± 4 nM),Ligand = 1 µM,"8 mM Na2HPO4  (pH = 7.0), 185 mM NaCl, and 0.1 mM EDTA (+ 20% PEG 8000 for values in parenthesis) ",Binding,Fluorescence-Based Titration (Intrinsic),"Performed under constant ligand concentration and RNA was serially diluted. For molecular crowding experiments, PEG 8000 was added to a final concentration of 20% (w/v) to the folded RNA and to the solution used for serial dilutions. After a 20 min incubation, fluorescence intensity was measured.","DMSO, compared to monomeric compounds (which had less activity), conducted under cellular crowding conditions with PEG",,SCA10 Fibroblasts,Diminished ~70% of nuclear foci,Ligand = 50 nM,Nuclear Foci Dispersion,Fluorescence In Situ Hybridization,"Compounds dissolved in DMSO (50%) were added to cells, and collected after 48 h. The AUUCU RNA foci were detected using a Cy3-labelled (AGAAU)10 RNA oligonucleotide probe.","Co-stained with DAPI, compared to no compound",,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,r(CUG)12,Kd = ~ 4 µM; n = ~ 9,Ligand = 1 µM,"8 mM Na2HPO4  (pH = 7.0), 185 mM NaCl, and 0.1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),"Performed under constant ligand concentration and RNA was serially diluted. After a 20 min incubation, fluorescence intensity
was measured.","DMSO, compared to monomeric compounds",C,SCA10 Fibroblasts,No changes in ATXB10 mRNA levels,Ligand = 50 nM,Transcriptional Activity,qRT-PCR,"Compounds dissolved in DMSO (50%) were added to cells, and collected after 48 h",Compared to untreated control; normalized to GAPDH mRNA,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,r(CGG)12,Kd = ~ 4 µM; n = ~ 6,Ligand = 1 µM,"8 mM Na2HPO4  (pH = 7.0), 185 mM NaCl, and 0.1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),"Performed under constant ligand concentration and RNA was serially diluted. After a 20 min incubation, fluorescence intensity was measured.","DMSO, compared to monomeric compounds",,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,r(CCUG)12,Kd = ~ 4 µM; n = ~ 6,Ligand = 1 µM,"8 mM Na2HPO4  (pH = 7.0), 185 mM NaCl, and 0.1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),"Performed under constant ligand concentration and RNA was serially diluted. After a 20 min incubation, fluorescence intensity was measured.","DMSO, compared to monomeric compounds ",,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,DNA hairpin,No saturable binding observed,Ligand = 1 µM,"8 mM Na2HPO4  (pH = 7.0), 185 mM NaCl, and 0.1 mM EDTA",Off-Target Effect,Fluorescence-Based Titration (Intrinsic),"Performed under constant ligand concentration and RNA was serially diluted. After a 20 min incubation, fluorescence intensity was measured.","DMSO, compared to monomeric compounds (which bound with higher affinity)",,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,,r(AUUCU)500,Significant enrichment of the r(AUUCU)500 in the pulled-down material,Ligand = 250 nM; RNA = 100 µg,SCA10 fibroblast cell lysate,On-Target Effect,RNA Pull-Down,"A biotinylated ligand derivative was synthesized and incubated with total RNA isolated from cells that express r(AUUCU)500. Bound RNAs were isolated with streptavidin resin. After extensive washing and elution of bound RNAs, the amount of r(AUUCU)500 bound was quantified by qRT–PCR.",Normalized to 18S rRNA,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,r(AUUCU)500; Various excess concentrations of r(AUUCU)11,100-fold excess of r(AUUCU011 was required to decrease enrichment of r(AUUCU)500 in the pulled-down fraction,Ligand = 250 nM; RNA = 100 µg,SCA10 fibroblast cell lysate,On-Target Effect,RNA Pull-Down,"A biotinylated ligand derivative was synthesized and incubated with total RNA isolated from cells that express r(AUUCU)500 with various shorter repeat concentrations added to the lysate. Bound RNAs were isolated with streptavidin resin. After extensive washing and elution of bound RNAs, the amount of r(AUUCU)500 bound was quantified by qRT–PCR.",-,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0003,R-BIND (MV) 0004,CCCN(CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1)C(=O)CNCC1=CN(CCCNC(=[NH2+])C2=CC=C(C=C2)C2=CC=C(O2)C2=CC=C(C=C2)C(N)=[NH2+])N=N1,2AU-2,10.1038/ncomms11647,C,93 highly abundant transcripts ,"Only a fraction of other RNAs were enriched comparably to r(AUUCU)500, mostly tRNA",Ligand = 250 nM; RNA = 100 µg,"8 mM Na2HPO4  (pH = 7.0), 185 mM NaCl, and 0.1 mM EDTA",Off-Target Effect,qRT-PCR,"93 highly abundant RNAs included rRNAs, sRNAs, tRNAs and mRNAs",Normalized to 18S rRNA,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0004,R-BIND (MV) 0009,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-3,10.1021/cb400875u,,r(CGG)12-DGCR8? complex,IC50 = 18 ± 0.7 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Compared to parent monomer compound,,COS7 Cells (SMN2),30 ± 2 % improvement of SMN2 splicing.,Ligand = 20 µM,RNA Splicing,RT-PCR,"Cells co-transfected with a plasmid encoding r(CGG)60x and an SMN2 mini-gene. Compound was added post-transfection, and alternative pre-mRNA splicing patterns were evaluated by RT-PCR.",Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0004,R-BIND (MV) 0009,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-3,10.1021/cb400875u,C,r(CGG)12-DGCR8? complex; 65-fold excess tRNA,IC50 = 30 ± 0.7 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Compared to parent monomer compound,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,r(CUG)109,Kd = 100 nM,Ligand = 1 µM,"8 mM sodium phosphate (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Binding,Fluorescence-Based Titration (Intrinsic),-,-,,HeLa Cells,Splicing improved to approximately wild-type levels,"Ligand = 5, 25 µM",RNA Splicing,RT-PCR,DM1 cell culture co-transfected with plasmids with DM1 minigene containing 960 CTG repeats and a cTNT minigene.,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,r(CUG)exp-MBNL1 complex,IC50 = 11 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,-,C,HeLa Cells,No effect cTNT splicing in the absence of r(CUG)exp repeats,Ligand = 50 µM,RNA Splicing,RT-PCR,Cells were co-transfected with a mini-gene containing only five CTG repeats and the cTNT mini-gene. ,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,,,,,,,,,C,HeLa Cells,No effect on alternative splicing of PLEKHH2 pre-mRNA,Ligand = 50 µM,RNA Splicing,RT-PCR,Gene not controlled by MBNL1,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,,,,,,,,,,HeLa Cells,No effect on cell morphology or cell death,"Ligand = 5, 25 µM",Cytotoxicity,-,-,-,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,,,,,,,,,,C212 Cells,150% increase in luciferase activity,Ligand = 25 µM,Translational Activity,Reporter,Cell line stably expresses the firefly luciferase gene containing a (CTG)800 expansion in the 3? UTR.,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,,,,,,,,,C,C212 Cells,No increase in luciferase activity,Ligand = 50 µM,Translational Activity,Reporter,Cell line stably expresses the firefly luciferase gene without the(CTG)800 expansion in the 3? UTR.,Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0005A,R-BIND (MV) 0010-a,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb200408a,,,,,,,,,,,C212 Cells,The number of foci is decreased and the foci are more dispersed,Ligand = 25 µM,Nuclear Foci Dispersion,Fluorescence In Situ Hybridization,-,"Compared to untreated cells, used DAPI stain for nuclear localization and confirmed presence of RNA",,,,,,,,,,,,,,,
R-BIND (LM) 0005B,R-BIND (MV) 0010-b,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb400875u,,r(CGG)12-DGCR8? complex,IC50 = 20 ± 0.2 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Compared to parent monomer compound,,COS7 Cells (SMN2),25 ± 10 % improvement of SMN2 splicing.,Ligand = 20 µM,RNA Splicing,RT-PCR,"Cells co-transfected with a plasmid encoding r(CGG)60x and an SMN2 mini-gene. Compound was added post-transfection, and alternative pre-mRNA splicing patterns were evaluated by RT-PCR.",Compared to untreated cells,,,,,,,,,,,,,,,
R-BIND (LM) 0005B,R-BIND (MV) 0010-b,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb400875u,,r(CGG)12,Kd = 212 ± 35 nM,Ligand = 1 µM,"8 mM sodium phosphate (pH = 7.0), 185 mM NaCl, and 1 mM EDTA",Binding,Fluorescence-Based Titration (Intrinsic),,,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0005B,R-BIND (MV) 0010-b,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-4,10.1021/cb400875u,,r(CGG)12-DGCR8? complex; 65-fold excess tRNA,IC50 = 28 ± 1 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Compared to parent monomer compound,,,,,,,,,,,,,,,,,,,,,,,
R-BIND (LM) 0006,R-BIND (MV) 0011,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1,2H-5,10.1021/cb400875u,,r(CGG)12-DGCR8? complex,IC50 = 18 ± 0.8 µM,NR,"20 mM HEPES (pH = 7.5), 110 mM KCl, 110 mM NaCl, 0.1% (w/v) BSA, 2 mM MgCl2, 2 mM CaCl2, 0.05% (v/v) Tween-20, and 5 mM DTT",Protein Displacement,TR-FRET,-,Compared to parent monomer compound,,COS7 Cells (SMN2),34 ± 8 % improvement in SMN2 splicing,Ligand = 20 µM,RNA Splicing,RT-PCR,"Cells co-transfected with a plasmid encoding r(CGG)60x and an SMN2 mini-gene. Compound was added post-transfection, and alternative pre-mRNA splicing patterns were evaluated by RT-PCR.",Compared to untreated cells,,,,,,,,,,,,,,,
